,doc,page,min,max,year,pos,len,blocks_on_page,group
246,Economics-1955-0,21,0.07084148400000001,0.079060666,1955.0,top,0.008219181999999992,8,E5
247,Economics-1955-0,21,0.098238744,0.23992172,1955.0,center,0.14168297600000002,8,E5
248,Economics-1955-0,21,0.26144814,0.26614481,1955.0,center,0.004696670000000014,8,E5
249,Economics-1955-0,21,0.24305284,0.41996086,1955.0,center,0.17690802,8,E5
250,Economics-1955-0,21,0.42230919,0.79882586,1955.0,center,0.37651667,8,E5
251,Economics-1955-0,21,0.8062622500000001,0.87632096,1955.0,center,0.07005870999999997,8,E5
252,Economics-1955-0,21,0.91780823,0.95225048,1955.0,btm,0.03444225000000001,8,E5
253,Economics-1955-0,22,0.07201565800000001,0.080234833,1955.0,top,0.008219174999999995,9,E5
254,Economics-1955-0,22,0.071232878,0.081409,1955.0,top,0.010176121999999996,9,E5
255,Economics-1955-0,22,0.099412918,0.25870842,1955.0,center,0.15929550199999998,9,E5
256,Economics-1955-0,22,0.26144814,0.60039139,1955.0,center,0.33894325,9,E5
257,Economics-1955-0,22,0.61526418,0.63091975,1955.0,center,0.015655569999999952,9,E5
258,Economics-1955-0,22,0.63757336,0.70880628,1955.0,center,0.07123292000000003,9,E5
259,Economics-1955-0,22,0.71076322,0.87201566,1955.0,center,0.16125243999999994,9,E5
260,Economics-1955-0,22,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,9,E5
261,Economics-1955-0,22,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,9,E5
262,Economics-1955-0,23,0.075146772,0.08727984100000001,1955.0,top,0.01213306900000001,10,E5
263,Economics-1955-0,23,0.076712325,0.084540114,1955.0,top,0.007827789000000002,10,E5
264,Economics-1955-0,23,0.10293542,0.17260274,1955.0,center,0.06966732,10,E5
265,Economics-1955-0,23,0.17573385,0.49510762,1955.0,center,0.31937377,10,E5
266,Economics-1955-0,23,0.49941292000000004,0.67827791,1955.0,center,0.17886499,10,E5
267,Economics-1955-0,23,0.69432485,0.7749511,1955.0,center,0.08062625000000001,10,E5
